metric,entity,score
precision,basemats,0.3592233009708738
recall,basemats,0.4157303370786517
f1,basemats,0.3854166666666667
precision,dopants,0.2839506172839506
recall,dopants,0.27380952380952384
f1,dopants,0.2787878787878788
precision,link triplets,0.2413793103448276
recall,link triplets,0.24561403508771928
f1,link triplets,0.2434782608695652
